mm10	mm10 gene type	hg38	hg38 gene type	orthology type
ENSMUSG00000035861.6	pc	ENSG00000185873.7	pc	many-to-many
ENSMUSG00000043384.15	pc	ENSG00000271147.7	lncRNA	many-to-many
ENSMUSG00000105905.1	other	ENSG00000234176.1	other	one-to-many
ENSMUSG00000110082.1	other	ENSG00000218725.2	other	one-to-many
ENSMUSG00000027204.13	pc	ENSG00000142449.12	pc	many-to-many
ENSMUSG00000015839.6	pc	ENSG00000116044.15	pc	one-to-many
ENSMUSG00000092097.1	pc	ENSG00000059145.18	pc	one-to-many
ENSMUSG00000027175.10	pc	ENSG00000176148.15	pc	one-to-many
ENSMUSG00000050552.8	pc	ENSG00000188186.10	pc	one-to-many
ENSMUSG00000025736.14	pc	ENSG00000161999.11	pc	one-to-one
ENSMUSG00000021969.8	pc	ENSG00000232380.1	other	one-to-many
ENSMUSG00000043453.5	pc	ENSG00000156009.9	pc	many-to-many
ENSMUSG00000107240.1	lncRNA	ENSG00000239881.1	other	one-to-many
ENSMUSG00000110478.1	other	ENSG00000219470.1	other	one-to-many
ENSMUSG00000079105.4	pc	ENSG00000112936.18	pc	one-to-one
ENSMUSG00000113736.1	other	ENSG00000163792.6	pc	one-to-many
ENSMUSG00000113626.1	other	ENSG00000242852.6	pc	many-to-many
ENSMUSG00000032332.17	pc	ENSG00000111799.20	pc	one-to-one
ENSMUSG00000058173.12	pc	ENSG00000166002.6	pc	one-to-many
ENSMUSG00000037206.15	pc	ENSG00000129009.12	pc	many-to-many
ENSMUSG00000046213.9	pc	ENSG00000229183.8	pc	many-to-many
ENSMUSG00000020415.16	pc	ENSG00000164611.12	pc	one-to-many
ENSMUSG00000035057.7	pc	ENSG00000205301.11	pc	one-to-one
ENSMUSG00000045136.6	pc	ENSG00000137285.9	pc	many-to-many
ENSMUSG00000083828.1	other	ENSG00000217648.1	other	one-to-many
ENSMUSG00000036644.15	pc	ENSG00000197226.12	pc	one-to-one
ENSMUSG00000083237.1	other	ENSG00000282978.1	other	one-to-many
ENSMUSG00000093906.5	other	ENSG00000242580.1	other	many-to-many
ENSMUSG00000081925.1	other	ENSG00000228646.3	other	one-to-many
ENSMUSG00000100464.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000095788.6	pc	ENSG00000101307.15	pc	many-to-many
ENSMUSG00000032656.14	pc	ENSG00000173926.5	pc	one-to-one
ENSMUSG00000059668.5	pc	ENSG00000257125.1	other	many-to-many
ENSMUSG00000099473.1	other	ENSG00000160505.15	pc	one-to-many
ENSMUSG00000095168.1	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000050251.5	pc	ENSG00000254430.1	other	many-to-many
ENSMUSG00000060765.8	pc	ENSG00000196944.4	pc	many-to-many
ENSMUSG00000072100.4	pc	ENSG00000234469.4	pc	one-to-many
ENSMUSG00000036533.8	pc	ENSG00000163171.7	pc	one-to-many
ENSMUSG00000060036.13	pc	ENSG00000209482.1	ncRNA	many-to-many
ENSMUSG00000090693.4	pc	ENSG00000223709.5	other	many-to-many
ENSMUSG00000101551.1	other	ENSG00000242071.3	other	one-to-many
ENSMUSG00000085962.8	lncRNA	ENSG00000185689.15	pc	one-to-many
ENSMUSG00000113504.1	other	ENSG00000225549.3	other	many-to-many
ENSMUSG00000050440.8	pc	ENSG00000105697.7	pc	one-to-many
ENSMUSG00000033585.5	pc	ENSG00000257823.1	other	one-to-many
ENSMUSG00000040650.8	pc	ENSG00000197408.8	pc	one-to-many
ENSMUSG00000111700.1	pc	ENSG00000255225.1	other	many-to-many
ENSMUSG00000102506.1	other	ENSG00000186787.8	pc	one-to-many
ENSMUSG00000081301.1	other	ENSG00000228075.4	pc	one-to-many
ENSMUSG00000032397.7	pc	ENSG00000235416.1	other	many-to-many
ENSMUSG00000081487.1	other	ENSG00000151092.16	pc	one-to-many
ENSMUSG00000114899.1	other	ENSG00000236811.1	other	one-to-many
ENSMUSG00000028936.15	pc	ENSG00000116251.9	pc	many-to-many
ENSMUSG00000054083.8	pc	ENSG00000182472.8	pc	one-to-one
ENSMUSG00000086984.4	other	ENSG00000170545.16	pc	one-to-many
ENSMUSG00000049699.4	pc	ENSG00000145040.3	pc	one-to-one
ENSMUSG00000104346.1	pc	ENSG00000240184.6	pc	many-to-many
ENSMUSG00000034673.14	pc	ENSG00000204304.11	pc	many-to-many
ENSMUSG00000038859.7	pc	ENSG00000006453.13	pc	one-to-many
ENSMUSG00000081636.2	other	ENSG00000231697.3	other	many-to-many
ENSMUSG00000033972.9	pc	ENSG00000263189.1	other	many-to-many
ENSMUSG00000092568.2	other	ENSG00000204694.11	pc	one-to-many
ENSMUSG00000092265.2	other	ENSG00000206341.7	other	one-to-many
ENSMUSG00000045128.9	pc	ENSG00000201407.1	ncRNA	many-to-many
ENSMUSG00000096286.1	other	ENSG00000225093.1	other	one-to-many
ENSMUSG00000071434.2	lncRNA	ENSG00000131019.10	pc	many-to-many
ENSMUSG00000102583.1	other	ENSG00000186787.8	pc	one-to-many
ENSMUSG00000059218.14	pc	ENSG00000187545.5	pc	many-to-many
ENSMUSG00000032425.15	pc	ENSG00000090612.20	pc	many-to-many
ENSMUSG00000098420.1	other	ENSG00000241334.2	other	one-to-many
ENSMUSG00000110654.1	lncRNA	ENSG00000150093.18	pc	one-to-many
ENSMUSG00000096140.1	pc	ENSG00000230062.5	pc	one-to-one
ENSMUSG00000031299.10	pc	ENSG00000131828.13	pc	one-to-many
ENSMUSG00000105057.1	lncRNA	ENSG00000137936.16	pc	one-to-many
ENSMUSG00000114397.1	other	ENSG00000235552.4	other	many-to-many
ENSMUSG00000034459.8	pc	ENSG00000185745.9	pc	many-to-many
ENSMUSG00000053128.15	pc	ENSG00000173456.4	pc	one-to-many
ENSMUSG00000098190.1	other	ENSG00000228232.1	other	many-to-many
ENSMUSG00000090516.1	other	ENSG00000232888.4	other	many-to-many
ENSMUSG00000111845.1	other	ENSG00000125868.15	pc	many-to-many
ENSMUSG00000071632.10	pc	ENSG00000100084.14	pc	many-to-many
ENSMUSG00000028223.8	pc	ENSG00000104325.6	pc	one-to-one
ENSMUSG00000056877.2	other	ENSG00000234093.3	other	one-to-many
ENSMUSG00000113464.1	other	ENSG00000185420.18	pc	one-to-many
ENSMUSG00000083049.1	other	ENSG00000106086.18	pc	one-to-many
ENSMUSG00000113026.1	other	ENSG00000108312.14	pc	one-to-many
ENSMUSG00000032883.15	pc	ENSG00000123983.13	pc	many-to-many
ENSMUSG00000053490.8	pc	ENSG00000227837.1	other	many-to-many
ENSMUSG00000092227.1	other	ENSG00000268107.5	pc	many-to-many
ENSMUSG00000070469.12	pc	ENSG00000156218.12	pc	one-to-one
ENSMUSG00000043314.6	pc	ENSG00000187701.4	pc	one-to-many
ENSMUSG00000106546.1	other	ENSG00000253497.1	other	one-to-many
ENSMUSG00000000085.16	pc	ENSG00000010803.16	pc	one-to-many
ENSMUSG00000068457.14	pc	ENSG00000147050.14	pc	many-to-many
ENSMUSG00000001774.8	pc	ENSG00000248162.1	other	one-to-many
ENSMUSG00000066372.5	pc	ENSG00000213014.3	other	one-to-many
ENSMUSG00000096213.1	other	ENSG00000102021.10	pc	one-to-many
ENSMUSG00000078080.6	pc	ENSG00000280021.1	other	one-to-many
ENSMUSG00000026511.7	pc	ENSG00000143742.12	pc	one-to-one
ENSMUSG00000101988.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000026384.13	pc	ENSG00000088179.8	pc	one-to-one
ENSMUSG00000112483.1	lncRNA	ENSG00000139910.19	pc	one-to-many
ENSMUSG00000042962.5	other	ENSG00000159186.4	other	one-to-many
ENSMUSG00000044709.6	pc	ENSG00000274328.1	other	many-to-many
ENSMUSG00000095737.5	other	ENSG00000270187.1	other	many-to-many
ENSMUSG00000032307.16	pc	ENSG00000261480.1	lncRNA	many-to-many
ENSMUSG00000079505.2	lncRNA	ENSG00000230521.1	other	many-to-many
ENSMUSG00000047787.7	pc	ENSG00000256824.1	lncRNA	one-to-many
ENSMUSG00000076030.1	ncRNA	ENSG00000233952.1	other	one-to-many
ENSMUSG00000106222.1	lncRNA	ENSG00000259001.3	lncRNA	many-to-many
ENSMUSG00000082906.1	other	ENSG00000184900.15	pc	one-to-many
ENSMUSG00000069044.6	pc	ENSG00000238154.1	other	many-to-many
ENSMUSG00000079875.5	other	ENSG00000180016.2	pc	one-to-many
ENSMUSG00000027405.16	pc	ENSG00000201516.1	ncRNA	many-to-many
ENSMUSG00000082895.1	other	ENSG00000243175.1	other	many-to-many
ENSMUSG00000030058.17	pc	ENSG00000278658.1	ncRNA	one-to-many
ENSMUSG00000020801.8	pc	ENSG00000108590.10	pc	many-to-many
ENSMUSG00000030087.11	pc	ENSG00000163884.3	pc	one-to-one
ENSMUSG00000087968.1	ncRNA	ENSG00000252798.1	ncRNA	one-to-many
ENSMUSG00000099512.1	lncRNA	ENSG00000239922.1	lncRNA	one-to-one
ENSMUSG00000083280.1	other	ENSG00000105568.17	pc	one-to-many
ENSMUSG00000088241.1	ncRNA	ENSG00000274998.1	ncRNA	many-to-many
ENSMUSG00000104913.1	other	ENSG00000220563.1	other	many-to-many
ENSMUSG00000081771.1	other	ENSG00000248710.1	pc	many-to-many
ENSMUSG00000031481.8	pc	ENSG00000273840.1	lncRNA	many-to-many
ENSMUSG00000066896.6	pc	ENSG00000214487.3	other	many-to-many
ENSMUSG00000016409.4	pc	ENSG00000233382.6	other	one-to-many
ENSMUSG00000102869.2	lncRNA	ENSG00000144867.11	pc	many-to-many
ENSMUSG00000048347.5	pc	ENSG00000197479.6	pc	many-to-many
ENSMUSG00000031010.17	pc	ENSG00000124486.12	pc	many-to-many
ENSMUSG00000114923.1	pc	ENSG00000196268.11	pc	many-to-many
ENSMUSG00000047696.16	pc	ENSG00000265766.3	other	many-to-many
ENSMUSG00000090674.1	other	ENSG00000266780.1	ncRNA	many-to-many
ENSMUSG00000066068.5	other	ENSG00000226573.1	other	many-to-many
ENSMUSG00000076041.1	ncRNA	ENSG00000284043.1	ncRNA	many-to-many
ENSMUSG00000039110.14	pc	ENSG00000136449.13	pc	one-to-one
ENSMUSG00000023045.12	pc	ENSG00000167780.11	pc	one-to-one
ENSMUSG00000064634.1	ncRNA	ENSG00000201541.1	ncRNA	many-to-many
ENSMUSG00000080321.2	other	ENSG00000173275.12	pc	one-to-many
ENSMUSG00000040370.13	pc	ENSG00000205707.10	pc	one-to-many
ENSMUSG00000027523.19	pc	ENSG00000087460.24	pc	many-to-many
ENSMUSG00000027694.9	other	ENSG00000237891.1	other	many-to-many
ENSMUSG00000096554.1	pc	ENSG00000169484.3	pc	one-to-many
ENSMUSG00000062369.2	pc	ENSG00000255211.1	other	many-to-many
ENSMUSG00000024766.14	pc	ENSG00000204022.9	pc	many-to-many
ENSMUSG00000018995.12	pc	ENSG00000137513.9	pc	one-to-one
ENSMUSG00000066896.6	pc	ENSG00000237521.3	pc	many-to-many
ENSMUSG00000106002.1	lncRNA	ENSG00000196826.7	pc	many-to-many
ENSMUSG00000061062.4	pc	ENSG00000256674.1	other	many-to-many
ENSMUSG00000045589.7	pc	ENSG00000260230.2	pc	one-to-one
ENSMUSG00000097265.1	lncRNA	ENSG00000245864.2	lncRNA	one-to-one
ENSMUSG00000028703.14	pc	ENSG00000132128.16	pc	one-to-one
ENSMUSG00000092124.1	pc	ENSG00000186952.14	pc	one-to-many
ENSMUSG00000047965.9	other	ENSG00000238103.4	other	many-to-many
ENSMUSG00000049091.6	pc	ENSG00000250247.1	other	one-to-many
ENSMUSG00000104915.1	other	ENSG00000211804.3	other	one-to-many
ENSMUSG00000113555.1	other	ENSG00000220842.6	other	many-to-many
ENSMUSG00000091924.2	pc	ENSG00000213777.5	other	many-to-many
ENSMUSG00000081765.1	other	ENSG00000109079.9	pc	one-to-many
ENSMUSG00000027326.13	pc	ENSG00000137812.19	pc	one-to-one
ENSMUSG00000091721.4	pc	ENSG00000250298.3	pc	one-to-one
ENSMUSG00000022008.4	pc	ENSG00000133114.17	pc	one-to-one
ENSMUSG00000106111.1	other	ENSG00000249890.1	other	many-to-many
ENSMUSG00000028360.9	pc	ENSG00000137968.16	pc	one-to-one
ENSMUSG00000040811.15	pc	ENSG00000125746.16	pc	many-to-many
ENSMUSG00000072769.6	lncRNA	ENSG00000283183.1	lncRNA	one-to-one
ENSMUSG00000070871.10	pc	ENSG00000230637.2	other	many-to-many
ENSMUSG00000114248.1	other	ENSG00000148300.11	pc	many-to-many
ENSMUSG00000007739.10	pc	ENSG00000115484.14	pc	many-to-many
ENSMUSG00000062083.1	pc	ENSG00000244053.1	other	many-to-many
ENSMUSG00000102428.1	pc	ENSG00000242419.5	pc	many-to-many
ENSMUSG00000098126.1	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000087121.1	other	ENSG00000242071.3	other	one-to-many
ENSMUSG00000040720.15	pc	ENSG00000164944.11	pc	one-to-many
ENSMUSG00000102115.1	other	ENSG00000186376.14	pc	one-to-many
ENSMUSG00000115005.1	other	ENSG00000226279.2	other	many-to-many
ENSMUSG00000004791.7	pc	ENSG00000119630.13	pc	one-to-one
ENSMUSG00000044018.3	pc	ENSG00000235469.1	other	one-to-many
ENSMUSG00000090707.8	pc	ENSG00000151208.16	pc	one-to-many
ENSMUSG00000102742.1	pc	ENSG00000204956.5	pc	many-to-many
ENSMUSG00000107748.4	pc	ENSG00000179615.2	pc	many-to-many
ENSMUSG00000085148.1	lncRNA	ENSG00000283824.1	ncRNA	many-to-many
ENSMUSG00000001289.12	pc	ENSG00000270846.1	other	many-to-many
ENSMUSG00000039239.14	pc	ENSG00000092969.11	pc	one-to-many
ENSMUSG00000038855.10	pc	ENSG00000143772.9	pc	one-to-many
ENSMUSG00000057654.6	pc	ENSG00000203661.4	pc	many-to-many
ENSMUSG00000001627.12	pc	ENSG00000006652.13	pc	one-to-one
ENSMUSG00000095202.2	other	ENSG00000213716.3	other	many-to-many
ENSMUSG00000030069.15	pc	ENSG00000163421.8	pc	one-to-one
ENSMUSG00000032394.6	pc	ENSG00000174498.13	pc	one-to-one
ENSMUSG00000070291.4	pc	ENSG00000184735.6	pc	one-to-many
ENSMUSG00000075221.3	pc	ENSG00000170688.4	other	many-to-many
ENSMUSG00000067017.5	other	ENSG00000225369.1	other	many-to-many
ENSMUSG00000110501.1	other	ENSG00000185834.10	other	one-to-many
ENSMUSG00000106980.1	lncRNA	ENSG00000139597.17	pc	one-to-many
ENSMUSG00000021822.3	pc	ENSG00000122861.15	pc	one-to-one
ENSMUSG00000113296.1	other	ENSG00000115756.12	pc	one-to-many
ENSMUSG00000099211.1	ncRNA	ENSG00000224415.1	other	one-to-many
ENSMUSG00000093973.1	pc	ENSG00000254541.1	other	one-to-many
ENSMUSG00000039956.8	pc	ENSG00000170262.12	pc	one-to-one
ENSMUSG00000080946.1	other	ENSG00000224631.4	other	one-to-many
ENSMUSG00000005069.12	pc	ENSG00000215795.2	other	one-to-many
ENSMUSG00000031601.16	pc	ENSG00000198791.11	pc	one-to-many
ENSMUSG00000057788.13	pc	ENSG00000105671.11	pc	one-to-one
ENSMUSG00000027550.14	pc	ENSG00000133739.15	pc	one-to-one
ENSMUSG00000093803.3	pc	ENSG00000167393.17_PAR_Y	pc	many-to-many
ENSMUSG00000023041.6	pc	ENSG00000170465.9	pc	one-to-many
ENSMUSG00000030303.15	pc	ENSG00000284619.1	other	many-to-many
ENSMUSG00000039556.16	pc	ENSG00000049769.12	pc	one-to-many
ENSMUSG00000024570.6	pc	ENSG00000267127.7	pc	one-to-many
ENSMUSG00000055093.10	other	ENSG00000228681.1	other	many-to-many
ENSMUSG00000064194.10	pc	ENSG00000196757.7	pc	many-to-many
ENSMUSG00000071909.2	pc	ENSG00000228570.7	pc	one-to-many
ENSMUSG00000045336.5	pc	ENSG00000228571.1	other	many-to-many
ENSMUSG00000082070.1	other	ENSG00000236606.1	other	many-to-many
ENSMUSG00000102312.1	pc	ENSG00000081842.17	pc	many-to-many
ENSMUSG00000054662.8	pc	ENSG00000185101.12	pc	one-to-one
ENSMUSG00000034911.8	pc	ENSG00000130307.11	pc	many-to-many
ENSMUSG00000022680.13	pc	ENSG00000196696.12	lncRNA	many-to-many
ENSMUSG00000041058.15	pc	ENSG00000123124.13	pc	one-to-one
ENSMUSG00000042606.9	pc	ENSG00000149929.15	pc	one-to-one
ENSMUSG00000074695.3	pc	ENSG00000127318.10	pc	one-to-many
ENSMUSG00000063932.5	pc	ENSG00000278830.1	other	many-to-many
ENSMUSG00000086029.7	lncRNA	ENSG00000049449.8	pc	many-to-many
ENSMUSG00000025479.9	pc	ENSG00000130649.9	pc	one-to-many
ENSMUSG00000090693.4	pc	ENSG00000220948.4	other	many-to-many
ENSMUSG00000049124.3	pc	ENSG00000270526.1	other	many-to-many
ENSMUSG00000083394.2	other	ENSG00000240828.1	other	many-to-many
ENSMUSG00000083422.1	other	ENSG00000207118.1	ncRNA	many-to-many
ENSMUSG00000020287.15	pc	ENSG00000103152.11	pc	one-to-one
ENSMUSG00000107093.1	lncRNA	ENSG00000277319.1	other	one-to-many
ENSMUSG00000059796.16	pc	ENSG00000277957.1	pc	many-to-many
ENSMUSG00000100296.1	pc	ENSG00000219770.1	other	one-to-many
ENSMUSG00000025451.15	pc	ENSG00000233892.1	other	one-to-many
ENSMUSG00000082725.1	other	ENSG00000148123.14	pc	one-to-many
ENSMUSG00000027509.11	pc	ENSG00000101146.12	pc	one-to-one
ENSMUSG00000071640.3	other	ENSG00000116266.10	pc	one-to-many
ENSMUSG00000026434.12	pc	ENSG00000232864.1	other	one-to-many
ENSMUSG00000091478.2	other	ENSG00000227590.2	other	many-to-many
ENSMUSG00000082125.1	other	ENSG00000136448.11	pc	one-to-many
ENSMUSG00000048775.10	pc	ENSG00000197641.11	pc	one-to-many
ENSMUSG00000105006.1	lncRNA	ENSG00000260278.1	lncRNA	one-to-one
ENSMUSG00000082536.1	other	ENSG00000223600.1	other	many-to-many
ENSMUSG00000094441.1	pc	ENSG00000196826.7	pc	many-to-many
ENSMUSG00000090111.1	other	ENSG00000163681.14	pc	one-to-many
ENSMUSG00000058740.14	pc	ENSG00000107147.12	pc	one-to-one
ENSMUSG00000030366.10	pc	ENSG00000105388.15	pc	many-to-many
ENSMUSG00000098025.2	other	ENSG00000185947.14	pc	many-to-many
ENSMUSG00000055621.8	other	ENSG00000248424.1	other	one-to-many
ENSMUSG00000056959.6	pc	ENSG00000197067.6	other	one-to-many
ENSMUSG00000083022.1	other	ENSG00000232134.1	other	many-to-many
ENSMUSG00000082190.1	other	ENSG00000235670.1	other	many-to-many
ENSMUSG00000083678.3	other	ENSG00000143106.12	pc	one-to-many
ENSMUSG00000114366.1	other	ENSG00000243779.1	other	many-to-many
ENSMUSG00000025413.13	pc	ENSG00000243725.6	pc	many-to-many
ENSMUSG00000084038.2	other	ENSG00000170522.9	pc	one-to-many
ENSMUSG00000105061.1	other	ENSG00000144535.19	pc	many-to-many
ENSMUSG00000031488.14	pc	ENSG00000156675.15	pc	one-to-many
ENSMUSG00000007827.10	pc	ENSG00000266302.6	pc	many-to-many
ENSMUSG00000059456.13	pc	ENSG00000120899.17	pc	one-to-many
ENSMUSG00000017376.15	pc	ENSG00000087095.12	pc	one-to-many
ENSMUSG00000081265.1	other	ENSG00000265646.2	other	one-to-many
ENSMUSG00000026775.9	pc	ENSG00000236831.1	other	many-to-many
ENSMUSG00000096006.1	other	ENSG00000189403.14	pc	many-to-many
ENSMUSG00000073184.3	pc	ENSG00000151693.10	pc	many-to-many
ENSMUSG00000063739.2	other	ENSG00000185641.6	other	one-to-many
ENSMUSG00000094285.2	pc	ENSG00000196832.4	pc	one-to-many
ENSMUSG00000093954.8	pc	ENSG00000147454.13	pc	many-to-many
ENSMUSG00000086782.2	lncRNA	ENSG00000231485.1	lncRNA	many-to-many
ENSMUSG00000037070.10	pc	ENSG00000227633.1	other	many-to-many
ENSMUSG00000075175.2	pc	ENSG00000181718.6	pc	one-to-many
ENSMUSG00000059316.2	pc	ENSG00000167114.12	pc	one-to-one
ENSMUSG00000063884.6	pc	ENSG00000132300.18	pc	many-to-many
ENSMUSG00000083116.1	other	ENSG00000277914.1	other	many-to-many
ENSMUSG00000079323.9	pc	ENSG00000283726.1	ncRNA	many-to-many
ENSMUSG00000025534.17	pc	ENSG00000254701.3	other	many-to-many
ENSMUSG00000050711.7	pc	ENSG00000171951.4	pc	one-to-one
ENSMUSG00000019718.8	pc	ENSG00000258782.3	lncRNA	many-to-many
ENSMUSG00000101807.1	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000095670.2	pc	ENSG00000275592.1	other	one-to-many
ENSMUSG00000094502.5	other	ENSG00000259337.4	other	one-to-many
ENSMUSG00000045655.9	pc	ENSG00000179813.6	pc	one-to-one
ENSMUSG00000066475.6	other	ENSG00000213700.3	other	many-to-many
ENSMUSG00000059674.7	pc	ENSG00000139880.19	pc	one-to-one
