Database_ID	ncRNA_Symbol	ncRNA_Category	Species	Detection_Method	Strong_Evidence	Weak_Evidence	Score	Causality	Clinical	ncRNA_ID
LDA0007482	MEG3	LncRNA	Homo sapiens	Strong/Weak evidence	Western Blot//Wound Healing Assay//Migration Assay//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//Colony Formation Assay//Invasion Assay//Transwell Assay	RNA-seq	1	Yes	Yes	RID03180
LDA0007494	NR2F1-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//Tunel//Migration Assay//CCK8//RIP//Flow Cytometry//qRT-PCR//IF//Luciferase Report Assay//Cell Viability Assay//Transwell Assay//ChIP		1	Yes	Yes	RID03666
LDA0007517	MEG3	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//Genotyping//CCK8//qRT-PCR//RIP//Flow Cytometry//MTT//Luciferase Report Assay//Transwell Assay		1	Yes	Yes	RID03180
LDA0007534	NORAD	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Transwell Assay//Tunel//Migration Assay//Colony Formation Assay//RIP//qRT-PCR//CCK8//MTT//Luciferase Report Assay//BrdU//IHC//Invasion Assay//ChIP		1	Yes	Yes	RID03653
LDA0007538	NORAD	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Wound Healing Assay//Tunel//Colony Formation Assay//CCK8//qRT-PCR//RIP//FISH//MTT//Luciferase Report Assay//IF//Cell Viability Assay//Flow Cytometry//ELISA//IHC//EdU Staining//Transwell Assay		1	Yes	Unknown	RID03653
LDA0007548	MEG3	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Colony Formation Assay//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//Cell Cycle Assay//IHC//Transwell Assay		1	Yes	Yes	RID03180
LDA0007552	MEG3	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Transfection//Migration Assay//CCK8//qRT-PCR//Flow Cytometry//MTT//Luciferase Report Assay//ELISA//Invasion Assay//Transwell Assay		1	Yes	Yes	RID03180
LDA0007572	MEG3	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//CCK8//qRT-PCR//Luciferase Report Assay//Transwell Assay		1	Yes	Yes	RID03180
LDA0007624	OIP5-AS1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//IHC//Western Blot//Transwell Assay//Transfection//Wound Healing Assay//CCK8//qRT-PCR//FISH//RIP//Luciferase Report Assay//Cell Proliferation Assay//Colony Formation Assay//IF		1	Yes	Yes	RID03711
LDA0007790	NEAT1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Transfection//CCK8//qRT-PCR//RIP//Luciferase Report Assay//Oil Red O Staining//ELISA//ChIP		1	Yes	Unknown	RID03401
LDA0007799	NORAD	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//RIP//Luciferase Report Assay//Invasion Assay//Transwell Assay		1	Yes	Yes	RID03653
LDA0007878	MCM3AP-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Migration Assay//CCK8//qRT-PCR//MTT//Luciferase Report Assay//Cell Cycle Assay//Transwell Assay		1	Yes	Yes	RID03171
LDA0007885	NORAD	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//Flow Cytometry//Colony Formation Assay		1	Yes	Yes	RID03653
LDA0007888	NORAD	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//FISH//Luciferase Report Assay//Cell Viability Assay//Transwell Assay		1	Yes	Yes	RID03653
LDA0007893	MEG3	LncRNA	Homo sapiens	Strong evidence	Western Blot//Transfection//Flow Cytometry//qRT-PCR//Cell Apoptosis Assay//ELISA		1	Yes	Yes	RID03180
LDA0007909	NORAD	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//Migration Assay//CCK8//qRT-PCR//Flow Cytometry//RIP//MTT//Luciferase Report Assay//FISH//IF//Transwell Assay		1	Yes	Yes	RID03653
LDA0005286	PCGEM1	LncRNA	Homo sapiens	Strong evidence	Western Blot//ISH//Wound Healing Assay//qRT-PCR//Luciferase Report Assay//Invasion Assay//Transwell Assay		1	Yes	Yes	RID03796
LDA0005296	PGM5-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Colony Formation Assay//CCK8//qRT-PCR//Luciferase Report Assay//IHC//Transwell Assay		1	Yes	Unknown	RID03828
LDA0005473	OIP5-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Flow Cytometry//qRT-PCR//CCK8//MTT//Luciferase Report Assay//Cell Cycle Assay//ELISA//Colony Formation Assay//EdU Staining//Transwell Assay		1	Yes	Yes	RID03711
LDA0005479	OIP5-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//Migration Assay//Flow Cytometry//qRT-PCR//FISH//RIP//CCK8//Luciferase Report Assay//ELISA//Transwell Assay		1	Yes	Unknown	RID03711
LDA0005522	PCAT18	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Transwell Assay//CCK8//qRT-PCR//Flow Cytometry//RIP//MTT//Luciferase Report Assay//Colony Formation Assay//EdU Staining//ChIP		1	Yes	Yes	RID03779
LDA0005527	PCAT1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Genotyping//Flow Cytometry//qRT-PCR//CCK8//MTT//Luciferase Report Assay//Transwell Assay		1	Yes	Unknown	RID03776
LDA0005580	PVT1	LncRNA	Homo sapiens	Strong/Weak evidence	Western Blot//ISH//Migration Assay//CCK8//qRT-PCR//Luciferase Report Assay//Cell Apoptosis Assay//Transwell Assay//Invasion Assay//IF	RNA-seq	1	Yes	Yes	RID03981
LDA0005581	PVT1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//Wound Healing Assay//Flow Cytometry//qRT-PCR//RIP//MTT//Luciferase Report Assay//ELISA//Colony Formation Assay//Transwell Assay		1	Yes	Unknown	RID03981
LDA0005582	PVT1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RIP//MTT//migration assay//Flow Cytometry//Luciferase Report Assay//IP//Colony Formation Assay//Invasion Assay//Transwell Assay//Transfection//Migration Assay//colony Formation Assay//RNA Pull-Down//cell invasion assay//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//PCR//BrdU//ELISA//IF		1	Yes	Yes	RID03981
LDA0005604	PVT1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Wound Healing Assay//Transfection//Migration Assay//qRT-PCR//MTT//Luciferase Report Assay//Cell Apoptosis Assay//Invasion Assay//Transwell Assay		1	Yes	Unknown	RID03981
LDA0005607	PVT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//ISH//MeRIP//Co-IP//CCK8//qRT-PCR//RIP//Luciferase Report Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID03981
LDA0005610	PVT1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//Wound Healing Assay//qPCR//EdU Staining//Tunel//Flow Cytometry//qRT-PCR//RIP//CCK8//MTT//Luciferase Report Assay//Colony Formation Assay//Invasion Assay//Transwell Assay		1	Yes	Yes	RID03981
LDA0005612	PVT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//Migration Assay//CCK8//qRT-PCR//Flow Cytometry//MTT//Luciferase Report Assay//Colony Formation Assay//Invasion Assay//Transwell Assay		1	Yes	Yes	RID03981
LDA0005615	PVT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//ISH//Genotyping//CCK8//qRT-PCR//FISH//Luciferase Report Assay//ELISA//Transwell Assay		1	Yes	Yes	RID03981
LDA0005617	PVT1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//Wound Healing Assay//Tube Formation Assay//Colony Formation Assay//CCK8//qRT-PCR//FISH//RIP//MTT//Luciferase Report Assay//Flow Cytometry//Cell Proliferation Assay//ELISA//IHC//Invasion Assay//Transwell Assay		1	Yes	Yes	RID03981
LDA0005619	PVT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Transwell Assay//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//FISH//RIP//IF//Luciferase Report Assay//Colony Formation Assay//ChIP		1	Yes	Unknown	RID03981
LDA0005665	RHPN1-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//Colony Formation Assay//EdU Staining//Transwell Assay		1	Yes	Yes	RID04070
LDA0005785	PVT1	LncRNA	Homo sapiens	Strong/Weak evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//Genotyping//CCK8//qRT-PCR//Flow Cytometry//RIP//MTT//Luciferase Report Assay//Cell Proliferation Assay//Colony Formation Assay//EdU Staining//Transwell Assay	RNA-seq	1	Yes	Yes	RID03981
LDA0005838	UCA1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//Wound Healing Assay//Transfection//Migration Assay//Flow Cytometry//qRT-PCR//CCK8//FISH//MTT//Luciferase Report Assay//Invasion Assay//Transwell Assay		1	Yes	Yes	RID05389
LDA0005840	UCA1	LncRNA	Homo sapiens	Strong evidence	IHC//Western Blot//Wound Healing Assay//Transfection//Immunoblotting//CCK8//qRT-PCR//IF//Luciferase Report Assay//Cell Apoptosis Assay//cell invasion assay//ELISA//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID05389
LDA0005849	UCA1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//Genotyping//Migration Assay//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//Cell Cycle Assay//Invasion Assay//Transwell Assay		1	Yes	Unknown	RID05389
LDA0005852	UCA1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Colony Formation Assay//CCK8//qRT-PCR//RIP//Flow Cytometry//MTT//Luciferase Report Assay//IHC//Transwell Assay		1	Yes	Yes	RID05389
LDA0005858	UCA1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//RIP//Luciferase Report Assay//Transwell Assay		1	Yes	Yes	RID05389
LDA0005861	UCA1	LncRNA	Homo sapiens	Strong/Weak evidence	RNA Pull-Down//Western Blot//Co-IP//Tunel//CCK8//qRT-PCR//Flow Cytometry//MTT//Luciferase Report Assay//Colony Formation Assay//Transwell Assay	Meta-analysis	1	Yes	Yes	RID05389
LDA0005944	UCA1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//ChIP//Western Blot//Migration Assay//CCK8//qRT-PCR//RIP//Flow Cytometry//MTT//Luciferase Report Assay//Colony Formation Assay//IHC//Invasion Assay//Transwell Assay		1	Yes	Yes	RID05389
LDA0005948	UCA1	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//Flow Cytometry//RIP//MTT//Luciferase Report Assay//Transwell Assay		1	Yes	Yes	RID05389
LDA0005994	TUG1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//CCK8//qRT-PCR//RIP//MTT//Luciferase Report Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID05356
LDA0005997	TUG1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//CCK8//qRT-PCR//RIP//MTT//Luciferase Report Assay//ELISA//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID05356
LDA0006086	TUG1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//Flow Cytometry//qRT-PCR//CCK8//RIP//MTT//Luciferase Report Assay//FISH//Transwell Assay		1	Yes	Yes	RID05356
LDA0006091	TUG1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//ChIP//Western Blot//Tunel//CCK8//qRT-PCR//Flow Cytometry//MTT//Luciferase Report Assay//Cell Viability Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID05356
LDA0006116	ZFAS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//Invasion Assay//Migration Assay//Flow Cytometry//qRT-PCR//CCK8//FISH//MTT//RIP//IF//Luciferase Report Assay//Colony Formation Assay//EdU Staining//Transwell Assay		1	Yes	Yes	RID05550
LDA0006121	ZFAS1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//IHC//Western Blot//Transfection//Wound Healing Assay//Flow Cytometry//qRT-PCR//RIP//CCK8//MTT//Luciferase Report Assay//IF//H&E Staining//Colony Formation Assay//Transwell Assay		1	Yes	Unknown	RID05550
LDA0006131	ZFAS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Migration Assay//CCK8//qRT-PCR//MTT//Luciferase Report Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID05550
LDA0006135	ZFAS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//IHC//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//RIP//IF//Flow Cytometry//Luciferase Report Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID05550
LDA0006198	ZNF667-AS1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//ChIP//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//RIP//Flow Cytometry//FISH//Luciferase Report Assay//IHC//Transwell Assay		1	Yes	Yes	RID05585
LDA0006218	ZFPM2-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//CCK8//qRT-PCR//Luciferase Report Assay//Cell Viability Assay//EdU Staining//Transwell Assay		1	Yes	Yes	RID05553
LDA0006252	ZEB2-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//Transfection//Migration Assay//CCK8//qRT-PCR//Flow Cytometry//RIP//Luciferase Report Assay//EdU Staining//Transwell Assay		1	Yes	Yes	RID05549
LDA0006254	XIST	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//Flow Cytometry//MTT//Luciferase Report Assay//Transwell Assay		1	Yes	Unknown	RID05469
LDA0006260	XIST	LncRNA	Homo sapiens	Strong/Weak evidence	IHC//Western Blot//Flow Cytometry//qRT-PCR//CCK8//RIP//Luciferase Report Assay//ELISA//Colony Formation Assay//Transwell Assay	Bioinformatics Analysis	1	Yes	Yes	RID05469
LDA0006262	XIST	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Luciferase Report Assay//Western Blot		1	Yes	Yes	RID05469
LDA0006263	XIST	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//Western Blot//Transfection//Wound Healing Assay//CCK8//qRT-PCR//Flow Cytometry//RIP//MTT//Luciferase Report Assay//Cell Apoptosis Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID05469
LDA0006275	XIST	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//qPCR//Flow Cytometry//qRT-PCR//CCK8//RIP//Luciferase Report Assay//Transwell Assay		1	Yes	Unknown	RID05469
LDA0006281	WT1-AS	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Transfection//Wound Healing Assay//Invasion Assay//Migration Assay//Flow Cytometry//qRT-PCR//RIP//IF//CCK8//Luciferase Report Assay//Cell Cycle Assay//Transwell Assay//EdU Staining//ChIP		1	Yes	Unknown	RID05462
LDA0006349	XIST	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//IHC//Western Blot//Wound Healing Assay//Flow Cytometry//qRT-PCR//FISH//RIP//MTT//Luciferase Report Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID05469
LDA0006353	XIST	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Flow Cytometry//qRT-PCR//MTT//Luciferase Report Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID05469
LDA0006366	XIST	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Migration Assay//CCK8//qRT-PCR//RIP//Luciferase Report Assay//Transwell Assay//Invasion Assay//ChIP		1	Yes	Unknown	RID05469
LDA0006455	ST8SIA6-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//CCK8//qRT-PCR//RIP//Luciferase Report Assay//Transwell Assay		1	Yes	Yes	RID04662
LDA0006547	SNHG6	LncRNA	Homo sapiens	Strong evidence	Western Blot//CCK8//qRT-PCR//RIP//MTT//Luciferase Report Assay//Transwell Assay		1	Yes	Yes	RID04552
LDA0006566	SNHG3	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//Western Blot//Wound Healing Assay//EdU Staining//Migration Assay//CCK8//qRT-PCR//FISH//RIP//Colony Formation Assay//Luciferase Report Assay//Flow Cytometry//MTT//IHC//Invasion Assay//Transwell Assay		1	Yes	Unknown	RID04548
LDA0006567	SNHG3	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//Transwell Assay		1	Yes	Yes	RID04548
LDA0006575	SNHG3	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//ChIP//Western Blot//Wound Healing Assay//Migration Assay//CCK8//qRT-PCR//RIP//Flow Cytometry//FISH//Luciferase Report Assay//Colony Formation Assay//IHC//Invasion Assay//Transwell Assay		1	Yes	Yes	RID04548
LDA0006581	SNHG6	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Transfection//Wound Healing Assay//Migration Assay//Flow Cytometry//qRT-PCR//CCK8//Luciferase Report Assay//Cell Proliferation Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID04552
LDA0006610	SNHG7	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//CCK8//qRT-PCR//RIP//MTT//Luciferase Report Assay//Transwell Assay		1	Yes	Yes	RID04553
LDA0006613	SNHG6	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//RNA Pull-Down//ChIP//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//RIP//Flow Cytometry//MTT//Luciferase Report Assay//FISH//Colony Formation Assay//EdU Staining//Transwell Assay		1	Yes	Yes	RID04552
LDA0006614	SNHG6	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//qRT-PCR//RIP//FISH//MTT//Luciferase Report Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID04552
LDA0006628	SNHG6	LncRNA	Homo sapiens	Strong evidence	Western Blot//Wound Healing Assay//Migration Assay//CCK8//qRT-PCR//RIP//Colony Formation Assay//MTT//Luciferase Report Assay//IHC//Invasion Assay//Transwell Assay		1	Yes	Yes	RID04552
LDA0006632	TP73-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//RIP//MTT//Luciferase Report Assay//cell invasion assay//Colony Formation Assay//EdU Staining//Transwell Assay		1	Yes	Yes	RID05313
LDA0006646	TP73-AS1	LncRNA	Homo sapiens	Strong evidence	In Vivo Experiment//IHC//ChIP//Western Blot//Transfection//Wound Healing Assay//Genotyping//CCK8//qRT-PCR//FISH//RIP//Luciferase Report Assay//Cell Apoptosis Assay//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID05313
LDA0006656	TP73-AS1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//ChIP//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//Flow Cytometry//FISH//MTT//Luciferase Report Assay//RIP//IP//Colony Formation Assay//Transwell Assay		1	Yes	Yes	RID05313
LDA0006911	TINCR	LncRNA	Homo sapiens	Strong evidence	CCK8//qRT-PCR//Western Blot		1	Yes	Yes	RID05257
LDA0003796	CCAT1	LncRNA	Homo sapiens	Strong evidence	RNA Pull-Down//Western Blot//Wound Healing Assay//CCK8//qRT-PCR//Flow Cytometry//RIP//MTT//Luciferase Report Assay//Cell Apoptosis Assay//Transwell Assay		1	Yes	Yes	RID00603
LDA0003812	CCAT1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Genotyping//CCK8//qRT-PCR//RIP//MTT//Luciferase Report Assay//Cell Apoptosis Assay//H&E Staining//IHC//Transwell Assay		1	Yes	Yes	RID00603
LDA0003854	CDKN2B-AS1	LncRNA	Homo sapiens	Strong evidence	Western Blot//Colony Formation Assay//qRT-PCR//MTT//Luciferase Report Assay//IHC		1	Yes	Yes	RID00652
