Gene ID	Symbol	Conservation (age)	Expression Capacity	Featured Expression	Featured Methylation	Variation (disease/trait-association)	Interaction	Small Protein
HSALNG0143614	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0143635	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0092433	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0094058	-	7. Simiiformes	HC	-	-	yes	-	-
HSALNG0143514	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0094775	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0143771	-	1. Homo	HC	-	yes	yes	-	-
HSALNG0143948	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0096853	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0097656	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0000282	-	3. Homininae	NE	-	yes	yes	-	-
HSALNG0098059	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0000944	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0098906	-	7. Simiiformes	HC	-	-	yes	-	-
HSALNG0001644	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0100043	-	17. Euteleostomi	HC	yes	-	yes	-	-
HSALNG0002705	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0003105	-	16. Tetrapoda	HC	-	-	yes	-	-
HSALNG0101727	-	13. Theria	MC	yes	yes	yes	-	-
HSALNG0102132	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0004200	-	16. Tetrapoda	NE	-	yes	yes	-	yes
HSALNG0004576	-	17. Euteleostomi	NE	-	-	yes	-	yes
HSALNG0102926	-	13. Theria	MC	-	-	yes	-	-
HSALNG0004999	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0005781	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0006529	-	13. Theria	LC	-	-	yes	-	-
HSALNG0104812	-	12. Eutheria	MC	-	-	yes	yes	yes
HSALNG0144503	-	17. Euteleostomi	NE	-	-	yes	-	yes
HSALNG0105617	-	11. Boreoeutheria	MC	yes	-	yes	yes	-
HSALNG0106379	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0142367	-	6. Catarrhini	HC	-	-	yes	-	-
HSALNG0009620	-	17. Euteleostomi	MC	yes	-	yes	-	-
HSALNG0010015	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0108200	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0010380	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0010780	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0108896	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0109630	-	3. Homininae	MC	-	-	yes	-	-
HSALNG0011915	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0012244	-	7. Simiiformes	HC	yes	-	yes	yes	yes
HSALNG0012567	-	16. Tetrapoda	HC	-	-	yes	-	-
HSALNG0012913	-	14. Mammalia	HC	-	yes	yes	-	-
HSALNG0013593	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0111857	-	13. Theria	MC	-	-	yes	-	-
HSALNG0013954	-	16. Tetrapoda	HC	-	yes	yes	-	-
HSALNG0112273	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0014314	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0014692	-	16. Tetrapoda	LC	-	-	yes	-	yes
HSALNG0113025	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0015022	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0146115	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0114085	-	14. Mammalia	HC	-	-	yes	-	-
HSALNG0016185	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0146146	-	1. Homo	MC	-	-	yes	-	-
HSALNG0114847	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0017425	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0017788	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0018601	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0117048	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0145325	-	14. Mammalia	MC	-	yes	yes	-	-
HSALNG0019690	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0118211	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0020828	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0021250	-	12. Eutheria	NE	-	yes	yes	-	-
HSALNG0119613	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0120688	-	10. Euarchontoglires	LC	-	-	yes	-	-
HSALNG0023283	-	1. Homo	MC	-	-	yes	-	-
HSALNG0121460	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0024717	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0122548	-	13. Theria	MC	-	-	yes	-	-
HSALNG0122888	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0123242	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0123604	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0026322	-	11. Boreoeutheria	HC	-	yes	yes	-	-
HSALNG0124023	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0124376	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0027051	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0027425	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0125116	-	4. Hominidae	NE	-	yes	yes	-	-
HSALNG0125488	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0125883	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0126262	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0029025	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0126669	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0147941	-	6. Catarrhini	HC	-	-	yes	-	-
HSALNG0127060	-	7. Simiiformes	MC	-	yes	yes	-	-
HSALNG0146901	-	1. Homo	HC	yes	yes	yes	-	yes
HSALNG0128946	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0031819	-	12. Eutheria	HC	-	-	yes	yes	-
HSALNG0129633	-	5. Hominoidea	MC	-	-	yes	-	-
HSALNG0033272	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0130769	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0131151	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0131499	-	15. Amniota	MC	-	-	yes	-	yes
HSALNG0131746	-	1. Homo	NE	-	yes	yes	-	-
HSALNG0034870	-	12. Eutheria	MC	yes	-	yes	yes	-
HSALNG0035298	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0132474	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0132816	-	8. Haplorrhini	MC	-	yes	yes	-	-
HSALNG0036408	-	14. Mammalia	LC	-	-	yes	-	-
HSALNG0133528	-	16. Tetrapoda	MC	-	yes	yes	-	-
HSALNG0036819	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0134612	-	13. Theria	MC	-	-	yes	yes	-
HSALNG0038065	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0135341	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0039192	-	13. Theria	HC	yes	yes	yes	-	-
HSALNG0040305	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0040744	-	1. Homo	LC	-	-	yes	-	-
HSALNG0041191	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0138424	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0042035	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0042432	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0139306	-	13. Theria	MC	-	-	yes	-	-
HSALNG0042773	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0140575	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0044072	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0046395	-	14. Mammalia	LC	-	-	yes	-	-
HSALNG0149073	-	16. Tetrapoda	LC	-	-	yes	-	-
HSALNG0049031	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0049397	-	12. Eutheria	NE	-	yes	yes	-	-
HSALNG0050931	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0052203	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0149490	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0053030	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0053423	-	16. Tetrapoda	HC	-	-	yes	yes	-
HSALNG0149315	-	1. Homo	HC	-	-	yes	-	-
HSALNG0055584	-	10. Euarchontoglires	HC	-	-	yes	-	-
HSALNG0149621	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0149922	-	15. Amniota	HC	yes	yes	yes	-	-
HSALNG0057864	-	13. Theria	MC	-	-	yes	-	-
HSALNG0058260	-	1. Homo	HC	-	-	yes	-	-
HSALNG0149718	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0059825	-	13. Theria	MC	-	-	yes	-	-
HSALNG0060213	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0060623	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0061397	-	14. Mammalia	HC	-	yes	yes	-	-
HSALNG0062171	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0063600	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0063973	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0065191	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0065600	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0066481	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0066932	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0067326	-	13. Theria	NE	-	-	yes	-	-
HSALNG0067690	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0068138	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0068558	-	13. Theria	NE	-	yes	yes	-	-
HSALNG0068935	-	10. Euarchontoglires	MC	-	yes	yes	-	-
HSALNG0070073	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0070440	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0070858	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0071951	-	4. Hominidae	HC	-	-	yes	-	-
HSALNG0072322	-	15. Amniota	NE	-	-	yes	-	-
HSALNG0075546	-	10. Euarchontoglires	MC	yes	-	yes	-	-
HSALNG0075859	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0076969	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0077920	-	6. Catarrhini	HC	yes	-	yes	-	-
HSALNG0079213	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0080370	-	13. Theria	MC	-	yes	yes	-	yes
HSALNG0080723	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0081095	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0081419	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0082890	-	14. Mammalia	HC	yes	yes	yes	-	-
HSALNG0142976	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0084485	-	15. Amniota	NE	-	-	yes	-	-
HSALNG0084839	-	17. Euteleostomi	MC	yes	-	yes	-	-
HSALNG0085220	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0085585	-	12. Eutheria	HC	-	-	yes	-	yes
HSALNG0086425	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0086865	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0087717	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0088483	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0088821	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0089210	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0089588	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0090040	-	16. Tetrapoda	HC	yes	-	yes	-	yes
HSALNG0090425	-	1. Homo	MC	-	-	yes	-	-
HSALNG0091238	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0092434	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0143706	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0094059	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0094776	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0143949	-	13. Theria	MC	-	-	yes	-	-
HSALNG0143958	-	15. Amniota	MC	yes	-	yes	-	-
HSALNG0097657	-	11. Boreoeutheria	MC	-	-	yes	yes	-
HSALNG0000610	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0098528	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0000946	-	10. Euarchontoglires	HC	-	-	yes	-	-
HSALNG0098908	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0144032	-	14. Mammalia	MC	yes	-	yes	-	-
HSALNG0001645	-	8. Haplorrhini	HC	-	-	yes	-	-
HSALNG0100044	-	17. Euteleostomi	MC	yes	-	yes	-	-
HSALNG0002342	-	15. Amniota	MC	yes	-	yes	-	yes
HSALNG0002709	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0003106	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0101728	-	15. Amniota	MC	yes	yes	yes	-	-
HSALNG0004578	-	17. Euteleostomi	NE	-	-	yes	-	yes
HSALNG0005002	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0103711	-	12. Eutheria	MC	-	-	yes	yes	-
HSALNG0005783	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0141837	-	16. Tetrapoda	HC	yes	yes	yes	-	-
HSALNG0104435	-	1. Homo	HC	yes	yes	yes	-	-
HSALNG0104813	-	2. Hominini	NE	-	-	yes	-	-
HSALNG0006818	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0105618	-	12. Eutheria	MC	-	-	yes	yes	-
HSALNG0105992	-	16. Tetrapoda	MC	yes	yes	yes	-	yes
HSALNG0008413	-	13. Theria	MC	yes	-	yes	-	yes
HSALNG0106754	-	13. Theria	LC	-	-	yes	-	-
HSALNG0009179	-	13. Theria	NE	-	-	yes	-	-
HSALNG0009621	-	13. Theria	HC	-	-	yes	-	-
HSALNG0144599	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0010008	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0108539	-	13. Theria	MC	-	-	yes	-	-
HSALNG0010787	-	13. Theria	LC	-	-	yes	-	-
HSALNG0109261	-	10. Euarchontoglires	HC	yes	-	yes	-	-
HSALNG0011916	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0109969	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0012568	-	16. Tetrapoda	HC	-	-	yes	-	-
HSALNG0110714	-	3. Homininae	HC	yes	-	yes	yes	yes
HSALNG0012914	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0111120	-	6. Catarrhini	HC	-	-	yes	-	-
HSALNG0013221	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0111487	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0013594	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0111855	-	6. Catarrhini	HC	-	-	yes	-	-
HSALNG0013955	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0014694	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0015025	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0016186	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0114848	-	9. Primates	HC	-	yes	yes	-	-
HSALNG0017023	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0017789	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0018186	-	9. Primates	MC	-	-	yes	-	-
HSALNG0145286	-	13. Theria	HC	-	-	yes	-	-
HSALNG0018603	-	3. Homininae	HC	yes	-	yes	-	-
HSALNG0117049	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0117424	-	14. Mammalia	HC	yes	yes	yes	-	yes
HSALNG0146631	-	1. Homo	HC	-	-	yes	-	-
HSALNG0020097	-	13. Theria	MC	-	-	yes	-	-
HSALNG0118212	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0020830	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0021251	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0119276	-	16. Tetrapoda	MC	-	yes	yes	-	-
HSALNG0021654	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0119614	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0119957	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0022476	-	17. Euteleostomi	MC	-	-	yes	-	yes
HSALNG0023284	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0023638	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0121462	-	14. Mammalia	MC	yes	-	yes	-	-
HSALNG0121819	-	12. Eutheria	HC	yes	-	yes	-	yes
HSALNG0122209	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0024719	-	12. Eutheria	HC	-	yes	yes	-	-
HSALNG0147778	-	7. Simiiformes	MC	yes	-	yes	-	-
HSALNG0122890	-	4. Hominidae	MC	yes	-	yes	-	yes
HSALNG0123609	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0027053	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0027426	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0027861	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0125490	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0125884	-	13. Theria	MC	-	-	yes	-	-
HSALNG0029026	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0126670	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0029807	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0145976	-	6. Catarrhini	MC	yes	-	yes	-	-
HSALNG0127794	-	1. Homo	MC	-	-	yes	-	-
HSALNG0030685	-	13. Theria	MC	-	-	yes	-	-
HSALNG0128172	-	12. Eutheria	HC	yes	-	yes	-	yes
HSALNG0031038	-	16. Tetrapoda	MC	-	yes	yes	-	-
HSALNG0031440	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0128947	-	12. Eutheria	MC	-	-	yes	yes	-
HSALNG0032193	-	3. Homininae	HC	yes	-	yes	-	-
HSALNG0129634	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0033273	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0033642	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0131152	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0131747	-	1. Homo	LC	-	-	yes	-	-
HSALNG0035299	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0147170	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0132817	-	12. Eutheria	MC	-	-	yes	-	yes
HSALNG0036410	-	16. Tetrapoda	MC	yes	yes	yes	-	-
HSALNG0133530	-	6. Catarrhini	HC	-	-	yes	-	-
HSALNG0037287	-	1. Homo	MC	-	-	yes	-	-
HSALNG0147385	-	12. Eutheria	MC	-	-	yes	yes	-
HSALNG0038066	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0147399	-	14. Mammalia	NE	-	yes	yes	-	-
HSALNG0038457	-	13. Theria	MC	-	-	yes	-	-
