id	MMU	HSAlifted	HSAlifted_cov	HSA	MMUlifted	MMUlifted_cov
ENSMUSG00000052951.7_ENSG00000224842.3	ENSMUSG00000052951.7	ENSG00000224842.3	0.162	ENSG00000224842.3	ENSMUSG00000052951.7	0.216
ENSMUSG00000053117.14_ENSG00000238276.8	ENSMUSG00000053117.14	ENSG00000238276.8	0.101	ENSG00000238276.8	ENSMUSG00000053117.14	0.224
ENSMUSG00000053214.9_ENSG00000295291.1	ENSMUSG00000053214.9	ENSG00000295291.1	0.174	ENSG00000295291.1	ENSMUSG00000053214.9	0.201
ENSMUSG00000053263.5_ENSG00000228839.6	ENSMUSG00000053263.5	ENSG00000228839.6	0.325	ENSG00000228839.6	ENSMUSG00000053263.5	0.725
ENSMUSG00000053332.16_ENSG00000234741.11	ENSMUSG00000053332.16	ENSG00000234741.11	0.159	ENSG00000234741.11	ENSMUSG00000053332.16	0.168
ENSMUSG00000054057.4_ENSG00000204682.10	ENSMUSG00000054057.4	ENSG00000204682.10	0.064	ENSG00000204682.10	ENSMUSG00000054057.4	0.459
ENSMUSG00000054457.8_ENSG00000233508.5	ENSMUSG00000054457.8	ENSG00000233508.5	0.126	ENSG00000233508.5	ENSMUSG00000054457.8	0.316
ENSMUSG00000054493.4_ENSG00000235531.12	ENSMUSG00000054493.4	ENSG00000235531.12	0.273	ENSG00000235531.12	ENSMUSG00000054493.4	0.242
ENSMUSG00000054945.6_ENSG00000250220.2	ENSMUSG00000054945.6	ENSG00000250220.2	0.260	ENSG00000250220.2	ENSMUSG00000054945.6	0.354
ENSMUSG00000056031.16_ENSG00000286875.2	ENSMUSG00000056031.16	ENSG00000286875.2	0.111	ENSG00000286875.2	ENSMUSG00000056031.16	0.512
ENSMUSG00000056735.8_ENSG00000256742.2	ENSMUSG00000056735.8	ENSG00000256742.2	0.298	ENSG00000256742.2	ENSMUSG00000056735.8	0.211
ENSMUSG00000059277.15_ENSG00000238184.1	ENSMUSG00000059277.15	ENSG00000238184.1	0.106	ENSG00000238184.1	ENSMUSG00000059277.15	0.066
ENSMUSG00000059706.6_ENSG00000266473.2	ENSMUSG00000059706.6	ENSG00000266473.2	0.099	ENSG00000266473.2	ENSMUSG00000059706.6	0.258
ENSMUSG00000060424.17_ENSG00000233639.10	ENSMUSG00000060424.17	ENSG00000233639.10	0.185	ENSG00000233639.10	ENSMUSG00000060424.17	0.308
ENSMUSG00000063087.17_ENSG00000237036.8	ENSMUSG00000063087.17	ENSG00000237036.8	0.083	ENSG00000237036.8	ENSMUSG00000063087.17	0.189
ENSMUSG00000063714.18_ENSG00000307158.1	ENSMUSG00000063714.18	ENSG00000307158.1	0.884	ENSG00000307158.1	ENSMUSG00000063714.18	0.159
ENSMUSG00000066938.4_ENSG00000269210.4	ENSMUSG00000066938.4	ENSG00000269210.4	0.501	ENSG00000269210.4	ENSMUSG00000066938.4	0.336
ENSMUSG00000071753.16_ENSG00000203930.15	ENSMUSG00000071753.16	ENSG00000203930.15	0.175	ENSG00000203930.15	ENSMUSG00000071753.16	0.187
ENSMUSG00000072591.14_ENSG00000250208.8	ENSMUSG00000072591.14	ENSG00000250208.8	0.078	ENSG00000250208.8	ENSMUSG00000072591.14	0.170
ENSMUSG00000072809.4_ENSG00000299228.1	ENSMUSG00000072809.4	ENSG00000299228.1	0.519	ENSG00000299228.1	ENSMUSG00000072809.4	0.340
ENSMUSG00000073147.6_ENSG00000239569.6	ENSMUSG00000073147.6	ENSG00000239569.6	0.265	ENSG00000239569.6	ENSMUSG00000073147.6	0.251
ENSMUSG00000073594.4_ENSG00000278901.1	ENSMUSG00000073594.4	ENSG00000278901.1	0.902	ENSG00000278901.1	ENSMUSG00000073594.4	0.704
ENSMUSG00000073652.12_ENSG00000230695.3	ENSMUSG00000073652.12	ENSG00000230695.3	0.751	ENSG00000230695.3	ENSMUSG00000073652.12	0.122
ENSMUSG00000073759.8_ENSG00000284623.2	ENSMUSG00000073759.8	ENSG00000284623.2	0.376	ENSG00000284623.2	ENSMUSG00000073759.8	0.379
ENSMUSG00000074213.4_ENSG00000245975.3	ENSMUSG00000074213.4	ENSG00000245975.3	0.380	ENSG00000245975.3	ENSMUSG00000074213.4	0.738
ENSMUSG00000074219.5_ENSG00000267169.3	ENSMUSG00000074219.5	ENSG00000267169.3	0.423	ENSG00000267169.3	ENSMUSG00000074219.5	0.312
ENSMUSG00000074256.5_ENSG00000303328.1	ENSMUSG00000074256.5	ENSG00000303328.1	0.753	ENSG00000303328.1	ENSMUSG00000074256.5	0.934
ENSMUSG00000074346.8_ENSG00000231437.4	ENSMUSG00000074346.8	ENSG00000231437.4	0.504	ENSG00000231437.4	ENSMUSG00000074346.8	0.756
ENSMUSG00000074373.8_ENSG00000285513.1	ENSMUSG00000074373.8	ENSG00000285513.1	0.924	ENSG00000285513.1	ENSMUSG00000074373.8	0.939
ENSMUSG00000074385.5_ENSG00000309913.1	ENSMUSG00000074385.5	ENSG00000309913.1	0.248	ENSG00000309913.1	ENSMUSG00000074385.5	0.161
ENSMUSG00000074415.18_ENSG00000255248.11	ENSMUSG00000074415.18	ENSG00000255248.11	0.209	ENSG00000255248.11	ENSMUSG00000074415.18	0.550
ENSMUSG00000074466.15_ENSG00000289103.3	ENSMUSG00000074466.15	ENSG00000289103.3	0.873	ENSG00000289103.3	ENSMUSG00000074466.15	0.446
ENSMUSG00000074517.3_ENSG00000308425.1	ENSMUSG00000074517.3	ENSG00000308425.1	0.417	ENSG00000308425.1	ENSMUSG00000074517.3	0.702
ENSMUSG00000075070.8_ENSG00000242880.3	ENSMUSG00000075070.8	ENSG00000242880.3	0.323	ENSG00000242880.3	ENSMUSG00000075070.8	0.329
ENSMUSG00000075277.7_ENSG00000224189.9	ENSMUSG00000075277.7	ENSG00000224189.9	0.657	ENSG00000224189.9	ENSMUSG00000075277.7	0.699
ENSMUSG00000075286.6_ENSG00000214146.4	ENSMUSG00000075286.6	ENSG00000214146.4	0.078	ENSG00000214146.4	ENSMUSG00000075286.6	0.100
ENSMUSG00000075389.6_ENSG00000287431.2	ENSMUSG00000075389.6	ENSG00000287431.2	0.154	ENSG00000287431.2	ENSMUSG00000075389.6	0.308
ENSMUSG00000075576.14_ENSG00000310351.1	ENSMUSG00000075576.14	ENSG00000310351.1	0.966	ENSG00000310351.1	ENSMUSG00000075576.14	0.848
ENSMUSG00000075585.5_ENSG00000223855.5	ENSMUSG00000075585.5	ENSG00000223855.5	0.188	ENSG00000223855.5	ENSMUSG00000075585.5	0.516
ENSMUSG00000078190.8_ENSG00000230630.6	ENSMUSG00000078190.8	ENSG00000230630.6	0.881	ENSG00000230630.6	ENSMUSG00000078190.8	0.755
ENSMUSG00000078706.7_ENSG00000272763.2	ENSMUSG00000078706.7	ENSG00000272763.2	0.462	ENSG00000272763.2	ENSMUSG00000078706.7	0.495
ENSMUSG00000079001.3_ENSG00000302638.1	ENSMUSG00000079001.3	ENSG00000302638.1	0.421	ENSG00000302638.1	ENSMUSG00000079001.3	0.244
ENSMUSG00000079604.10_ENSG00000297769.1	ENSMUSG00000079604.10	ENSG00000297769.1	0.070	ENSG00000297769.1	ENSMUSG00000079604.10	0.067
ENSMUSG00000079669.5_ENSG00000235904.4	ENSMUSG00000079669.5	ENSG00000235904.4	0.072	ENSG00000235904.4	ENSMUSG00000079669.5	0.336
ENSMUSG00000084761.3_ENSG00000230729.2	ENSMUSG00000084761.3	ENSG00000230729.2	0.268	ENSG00000230729.2	ENSMUSG00000084761.3	0.526
ENSMUSG00000084789.3_ENSG00000289452.2	ENSMUSG00000084789.3	ENSG00000289452.2	0.730	ENSG00000289452.2	ENSMUSG00000084789.3	0.245
ENSMUSG00000084796.4_ENSG00000265206.7	ENSMUSG00000084796.4	ENSG00000265206.7	0.174	ENSG00000265206.7	ENSMUSG00000084796.4	0.257
ENSMUSG00000084799.10_ENSG00000227946.4	ENSMUSG00000084799.10	ENSG00000227946.4	0.753	ENSG00000227946.4	ENSMUSG00000084799.10	0.421
ENSMUSG00000084802.3_ENSG00000259536.6	ENSMUSG00000084802.3	ENSG00000259536.6	0.319	ENSG00000259536.6	ENSMUSG00000084802.3	0.103
ENSMUSG00000084822.3_ENSG00000235296.3	ENSMUSG00000084822.3	ENSG00000235296.3	0.148	ENSG00000235296.3	ENSMUSG00000084822.3	0.530
ENSMUSG00000084861.3_ENSG00000298151.1	ENSMUSG00000084861.3	ENSG00000298151.1	0.209	ENSG00000298151.1	ENSMUSG00000084861.3	0.119
ENSMUSG00000084865.3_ENSG00000236333.5	ENSMUSG00000084865.3	ENSG00000236333.5	0.326	ENSG00000236333.5	ENSMUSG00000084865.3	0.293
ENSMUSG00000084873.4_ENSG00000301045.1	ENSMUSG00000084873.4	ENSG00000301045.1	0.515	ENSG00000301045.1	ENSMUSG00000084873.4	0.166
ENSMUSG00000084890.4_ENSG00000265359.2	ENSMUSG00000084890.4	ENSG00000265359.2	0.189	ENSG00000265359.2	ENSMUSG00000084890.4	0.375
ENSMUSG00000084925.10_ENSG00000221817.13	ENSMUSG00000084925.10	ENSG00000221817.13	0.080	ENSG00000221817.13	ENSMUSG00000084925.10	0.338
ENSMUSG00000084946.5_ENSG00000288958.2	ENSMUSG00000084946.5	ENSG00000288958.2	0.894	ENSG00000288958.2	ENSMUSG00000084946.5	0.833
ENSMUSG00000085015.4_ENSG00000226363.5	ENSMUSG00000085015.4	ENSG00000226363.5	0.107	ENSG00000226363.5	ENSMUSG00000085015.4	0.204
ENSMUSG00000085020.3_ENSG00000230030.2	ENSMUSG00000085020.3	ENSG00000230030.2	0.367	ENSG00000230030.2	ENSMUSG00000085020.3	0.086
ENSMUSG00000085055.4_ENSG00000267774.2	ENSMUSG00000085055.4	ENSG00000267774.2	0.209	ENSG00000267774.2	ENSMUSG00000085055.4	0.173
ENSMUSG00000085067.5_ENSG00000288831.3	ENSMUSG00000085067.5	ENSG00000288831.3	0.389	ENSG00000288831.3	ENSMUSG00000085067.5	0.511
ENSMUSG00000085105.4_ENSG00000267219.2	ENSMUSG00000085105.4	ENSG00000267219.2	0.260	ENSG00000267219.2	ENSMUSG00000085105.4	0.444
ENSMUSG00000085121.4_ENSG00000232650.6	ENSMUSG00000085121.4	ENSG00000232650.6	0.266	ENSG00000232650.6	ENSMUSG00000085121.4	0.762
ENSMUSG00000085148.2_ENSG00000186594.17	ENSMUSG00000085148.2	ENSG00000186594.17	0.249	ENSG00000186594.17	ENSMUSG00000085148.2	0.360
ENSMUSG00000085154.10_ENSG00000261886.2	ENSMUSG00000085154.10	ENSG00000261886.2	0.131	ENSG00000261886.2	ENSMUSG00000085154.10	0.175
ENSMUSG00000085184.11_ENSG00000272668.3	ENSMUSG00000085184.11	ENSG00000272668.3	0.279	ENSG00000272668.3	ENSMUSG00000085184.11	0.071
ENSMUSG00000085201.3_ENSG00000224020.4	ENSMUSG00000085201.3	ENSG00000224020.4	0.667	ENSG00000224020.4	ENSMUSG00000085201.3	0.252
ENSMUSG00000085230.3_ENSG00000286356.2	ENSMUSG00000085230.3	ENSG00000286356.2	0.405	ENSG00000286356.2	ENSMUSG00000085230.3	0.348
ENSMUSG00000085256.4_ENSG00000225767.2	ENSMUSG00000085256.4	ENSG00000225767.2	0.578	ENSG00000225767.2	ENSMUSG00000085256.4	0.534
ENSMUSG00000085282.11_ENSG00000286043.2	ENSMUSG00000085282.11	ENSG00000286043.2	0.392	ENSG00000286043.2	ENSMUSG00000085282.11	0.315
ENSMUSG00000085338.3_ENSG00000294432.1	ENSMUSG00000085338.3	ENSG00000294432.1	0.500	ENSG00000294432.1	ENSMUSG00000085338.3	0.453
ENSMUSG00000085348.3_ENSG00000272975.3	ENSMUSG00000085348.3	ENSG00000272975.3	0.168	ENSG00000272975.3	ENSMUSG00000085348.3	0.490
ENSMUSG00000085402.3_ENSG00000308483.1	ENSMUSG00000085402.3	ENSG00000308483.1	0.148	ENSG00000308483.1	ENSMUSG00000085402.3	0.362
ENSMUSG00000085413.3_ENSG00000287873.2	ENSMUSG00000085413.3	ENSG00000287873.2	0.577	ENSG00000287873.2	ENSMUSG00000085413.3	0.402
ENSMUSG00000085427.9_ENSG00000296237.1	ENSMUSG00000085427.9	ENSG00000296237.1	0.256	ENSG00000296237.1	ENSMUSG00000085427.9	0.249
ENSMUSG00000085463.2_ENSG00000233721.2	ENSMUSG00000085463.2	ENSG00000233721.2	0.709	ENSG00000233721.2	ENSMUSG00000085463.2	0.903
ENSMUSG00000085470.4_ENSG00000229196.5	ENSMUSG00000085470.4	ENSG00000229196.5	0.217	ENSG00000229196.5	ENSMUSG00000085470.4	0.407
ENSMUSG00000085555.12_ENSG00000288060.2	ENSMUSG00000085555.12	ENSG00000288060.2	0.316	ENSG00000288060.2	ENSMUSG00000085555.12	0.339
ENSMUSG00000085568.9_ENSG00000301521.1	ENSMUSG00000085568.9	ENSG00000301521.1	0.618	ENSG00000301521.1	ENSMUSG00000085568.9	0.626
ENSMUSG00000085609.4_ENSG00000263050.2	ENSMUSG00000085609.4	ENSG00000263050.2	0.063	ENSG00000263050.2	ENSMUSG00000085609.4	0.348
ENSMUSG00000085640.3_ENSG00000309883.1	ENSMUSG00000085640.3	ENSG00000309883.1	0.458	ENSG00000309883.1	ENSMUSG00000085640.3	0.253
ENSMUSG00000085641.3_ENSG00000259119.1	ENSMUSG00000085641.3	ENSG00000259119.1	0.273	ENSG00000259119.1	ENSMUSG00000085641.3	0.317
ENSMUSG00000085645.4_ENSG00000233101.11	ENSMUSG00000085645.4	ENSG00000233101.11	0.883	ENSG00000233101.11	ENSMUSG00000085645.4	0.888
ENSMUSG00000085657.9_ENSG00000306907.1	ENSMUSG00000085657.9	ENSG00000306907.1	0.083	ENSG00000306907.1	ENSMUSG00000085657.9	0.267
ENSMUSG00000085680.3_ENSG00000233642.2	ENSMUSG00000085680.3	ENSG00000233642.2	0.310	ENSG00000233642.2	ENSMUSG00000085680.3	0.462
ENSMUSG00000085696.9_ENSG00000254369.7	ENSMUSG00000085696.9	ENSG00000254369.7	0.956	ENSG00000254369.7	ENSMUSG00000085696.9	0.951
ENSMUSG00000085725.4_ENSG00000267577.2	ENSMUSG00000085725.4	ENSG00000267577.2	0.154	ENSG00000267577.2	ENSMUSG00000085725.4	0.210
ENSMUSG00000085820.9_ENSG00000197176.8	ENSMUSG00000085820.9	ENSG00000197176.8	0.233	ENSG00000197176.8	ENSMUSG00000085820.9	0.181
ENSMUSG00000085890.10_ENSG00000276384.2	ENSMUSG00000085890.10	ENSG00000276384.2	0.290	ENSG00000276384.2	ENSMUSG00000085890.10	0.342
ENSMUSG00000085919.3_ENSG00000223726.2	ENSMUSG00000085919.3	ENSG00000223726.2	0.281	ENSG00000223726.2	ENSMUSG00000085919.3	0.127
ENSMUSG00000085940.3_ENSG00000288036.2	ENSMUSG00000085940.3	ENSG00000288036.2	0.222	ENSG00000288036.2	ENSMUSG00000085940.3	0.463
ENSMUSG00000085958.2_ENSG00000300065.1	ENSMUSG00000085958.2	ENSG00000300065.1	0.592	ENSG00000300065.1	ENSMUSG00000085958.2	0.469
ENSMUSG00000085995.5_ENSG00000255308.2	ENSMUSG00000085995.5	ENSG00000255308.2	0.169	ENSG00000255308.2	ENSMUSG00000085995.5	0.071
ENSMUSG00000086016.3_ENSG00000274425.1	ENSMUSG00000086016.3	ENSG00000274425.1	0.061	ENSG00000274425.1	ENSMUSG00000086016.3	0.347
ENSMUSG00000086031.3_ENSG00000309439.1	ENSMUSG00000086031.3	ENSG00000309439.1	0.323	ENSG00000309439.1	ENSMUSG00000086031.3	0.449
ENSMUSG00000086111.4_ENSG00000306891.1	ENSMUSG00000086111.4	ENSG00000306891.1	0.133	ENSG00000306891.1	ENSMUSG00000086111.4	0.581
ENSMUSG00000086126.3_ENSG00000253405.2	ENSMUSG00000086126.3	ENSG00000253405.2	0.554	ENSG00000253405.2	ENSMUSG00000086126.3	0.218
ENSMUSG00000086141.10_ENSG00000259974.6	ENSMUSG00000086141.10	ENSG00000259974.6	0.371	ENSG00000259974.6	ENSMUSG00000086141.10	0.237
ENSMUSG00000086148.3_ENSG00000300708.1	ENSMUSG00000086148.3	ENSG00000300708.1	0.555	ENSG00000300708.1	ENSMUSG00000086148.3	0.492
ENSMUSG00000086150.3_ENSG00000226455.1	ENSMUSG00000086150.3	ENSG00000226455.1	0.766	ENSG00000226455.1	ENSMUSG00000086150.3	0.443
ENSMUSG00000086155.10_ENSG00000309284.1	ENSMUSG00000086155.10	ENSG00000309284.1	0.564	ENSG00000309284.1	ENSMUSG00000086155.10	0.308
ENSMUSG00000086171.9_ENSG00000287241.2	ENSMUSG00000086171.9	ENSG00000287241.2	0.153	ENSG00000287241.2	ENSMUSG00000086171.9	0.848
ENSMUSG00000086173.9_ENSG00000283638.4	ENSMUSG00000086173.9	ENSG00000283638.4	0.680	ENSG00000283638.4	ENSMUSG00000086173.9	0.692
ENSMUSG00000086191.4_ENSG00000248714.8	ENSMUSG00000086191.4	ENSG00000248714.8	0.060	ENSG00000248714.8	ENSMUSG00000086191.4	0.301
ENSMUSG00000086193.4_ENSG00000302377.1	ENSMUSG00000086193.4	ENSG00000302377.1	0.329	ENSG00000302377.1	ENSMUSG00000086193.4	0.301
ENSMUSG00000086216.3_ENSG00000176868.3	ENSMUSG00000086216.3	ENSG00000176868.3	0.221	ENSG00000176868.3	ENSMUSG00000086216.3	0.619
ENSMUSG00000086224.10_ENSG00000253661.4	ENSMUSG00000086224.10	ENSG00000253661.4	0.266	ENSG00000253661.4	ENSMUSG00000086224.10	0.523
ENSMUSG00000086233.4_ENSG00000253711.1	ENSMUSG00000086233.4	ENSG00000253711.1	0.232	ENSG00000253711.1	ENSMUSG00000086233.4	0.171
ENSMUSG00000086245.2_ENSG00000250900.7	ENSMUSG00000086245.2	ENSG00000250900.7	0.058	ENSG00000250900.7	ENSMUSG00000086245.2	0.112
ENSMUSG00000086264.12_ENSG00000234132.3	ENSMUSG00000086264.12	ENSG00000234132.3	0.174	ENSG00000234132.3	ENSMUSG00000086264.12	0.451
ENSMUSG00000086296.5_ENSG00000242797.4	ENSMUSG00000086296.5	ENSG00000242797.4	0.227	ENSG00000242797.4	ENSMUSG00000086296.5	0.425
ENSMUSG00000086308.4_ENSG00000259460.2	ENSMUSG00000086308.4	ENSG00000259460.2	0.891	ENSG00000259460.2	ENSMUSG00000086308.4	0.714
ENSMUSG00000086395.2_ENSG00000309115.1	ENSMUSG00000086395.2	ENSG00000309115.1	0.340	ENSG00000309115.1	ENSMUSG00000086395.2	0.294
ENSMUSG00000086426.3_ENSG00000237863.4	ENSMUSG00000086426.3	ENSG00000237863.4	0.485	ENSG00000237863.4	ENSMUSG00000086426.3	0.565
ENSMUSG00000086427.10_ENSG00000240990.10	ENSMUSG00000086427.10	ENSG00000240990.10	0.848	ENSG00000240990.10	ENSMUSG00000086427.10	0.740
ENSMUSG00000086429.12_ENSG00000206573.12	ENSMUSG00000086429.12	ENSG00000206573.12	0.079	ENSG00000206573.12	ENSMUSG00000086429.12	0.211
ENSMUSG00000086481.4_ENSG00000306593.1	ENSMUSG00000086481.4	ENSG00000306593.1	0.651	ENSG00000306593.1	ENSMUSG00000086481.4	0.153
ENSMUSG00000086490.3_ENSG00000308590.1	ENSMUSG00000086490.3	ENSG00000308590.1	0.196	ENSG00000308590.1	ENSMUSG00000086490.3	0.277
ENSMUSG00000086539.10_ENSG00000259673.7	ENSMUSG00000086539.10	ENSG00000259673.7	0.403	ENSG00000259673.7	ENSMUSG00000086539.10	0.430
ENSMUSG00000086541.10_ENSG00000248690.9	ENSMUSG00000086541.10	ENSG00000248690.9	0.135	ENSG00000248690.9	ENSMUSG00000086541.10	0.414
ENSMUSG00000086603.2_ENSG00000224152.3	ENSMUSG00000086603.2	ENSG00000224152.3	0.693	ENSG00000224152.3	ENSMUSG00000086603.2	0.483
ENSMUSG00000086653.3_ENSG00000307878.1	ENSMUSG00000086653.3	ENSG00000307878.1	0.581	ENSG00000307878.1	ENSMUSG00000086653.3	0.305
ENSMUSG00000086676.4_ENSG00000237741.1	ENSMUSG00000086676.4	ENSG00000237741.1	0.623	ENSG00000237741.1	ENSMUSG00000086676.4	0.343
ENSMUSG00000086709.2_ENSG00000248464.1	ENSMUSG00000086709.2	ENSG00000248464.1	0.096	ENSG00000248464.1	ENSMUSG00000086709.2	0.137
ENSMUSG00000086725.3_ENSG00000272606.3	ENSMUSG00000086725.3	ENSG00000272606.3	0.141	ENSG00000272606.3	ENSMUSG00000086725.3	0.123
ENSMUSG00000086728.5_ENSG00000260274.3	ENSMUSG00000086728.5	ENSG00000260274.3	0.336	ENSG00000260274.3	ENSMUSG00000086728.5	0.446
ENSMUSG00000086740.2_ENSG00000307253.1	ENSMUSG00000086740.2	ENSG00000307253.1	0.276	ENSG00000307253.1	ENSMUSG00000086740.2	0.331
ENSMUSG00000086741.3_ENSG00000253389.3	ENSMUSG00000086741.3	ENSG00000253389.3	0.212	ENSG00000253389.3	ENSMUSG00000086741.3	0.207
ENSMUSG00000086820.3_ENSG00000231119.3	ENSMUSG00000086820.3	ENSG00000231119.3	0.482	ENSG00000231119.3	ENSMUSG00000086820.3	0.822
ENSMUSG00000086839.9_ENSG00000272768.2	ENSMUSG00000086839.9	ENSG00000272768.2	0.477	ENSG00000272768.2	ENSMUSG00000086839.9	0.282
ENSMUSG00000086844.4_ENSG00000269915.1	ENSMUSG00000086844.4	ENSG00000269915.1	0.129	ENSG00000269915.1	ENSMUSG00000086844.4	0.251
ENSMUSG00000086904.3_ENSG00000293938.1	ENSMUSG00000086904.3	ENSG00000293938.1	0.390	ENSG00000293938.1	ENSMUSG00000086904.3	0.138
ENSMUSG00000086948.3_ENSG00000228659.2	ENSMUSG00000086948.3	ENSG00000228659.2	0.327	ENSG00000228659.2	ENSMUSG00000086948.3	0.183
ENSMUSG00000087018.3_ENSG00000254639.2	ENSMUSG00000087018.3	ENSG00000254639.2	0.758	ENSG00000254639.2	ENSMUSG00000087018.3	0.747
ENSMUSG00000087022.7_ENSG00000225953.6	ENSMUSG00000087022.7	ENSG00000225953.6	0.241	ENSG00000225953.6	ENSMUSG00000087022.7	0.444
ENSMUSG00000087038.12_ENSG00000295459.1	ENSMUSG00000087038.12	ENSG00000295459.1	0.409	ENSG00000295459.1	ENSMUSG00000087038.12	0.125
ENSMUSG00000087085.3_ENSG00000304979.1	ENSMUSG00000087085.3	ENSG00000304979.1	0.776	ENSG00000304979.1	ENSMUSG00000087085.3	0.482
ENSMUSG00000087095.5_ENSG00000229847.10	ENSMUSG00000087095.5	ENSG00000229847.10	0.091	ENSG00000229847.10	ENSMUSG00000087095.5	0.276
ENSMUSG00000087110.4_ENSG00000289185.2	ENSMUSG00000087110.4	ENSG00000289185.2	0.358	ENSG00000289185.2	ENSMUSG00000087110.4	0.253
ENSMUSG00000087172.3_ENSG00000253311.4	ENSMUSG00000087172.3	ENSG00000253311.4	0.107	ENSG00000253311.4	ENSMUSG00000087172.3	0.081
ENSMUSG00000087177.10_ENSG00000231889.10	ENSMUSG00000087177.10	ENSG00000231889.10	0.228	ENSG00000231889.10	ENSMUSG00000087177.10	0.274
ENSMUSG00000087231.10_ENSG00000302977.1	ENSMUSG00000087231.10	ENSG00000302977.1	0.792	ENSG00000302977.1	ENSMUSG00000087231.10	0.160
ENSMUSG00000087252.3_ENSG00000234390.5	ENSMUSG00000087252.3	ENSG00000234390.5	0.787	ENSG00000234390.5	ENSMUSG00000087252.3	0.390
ENSMUSG00000087290.3_ENSG00000249252.6	ENSMUSG00000087290.3	ENSG00000249252.6	0.163	ENSG00000249252.6	ENSMUSG00000087290.3	0.529
ENSMUSG00000087295.3_ENSG00000227543.6	ENSMUSG00000087295.3	ENSG00000227543.6	0.084	ENSG00000227543.6	ENSMUSG00000087295.3	0.444
ENSMUSG00000087301.10_ENSG00000236107.12	ENSMUSG00000087301.10	ENSG00000236107.12	0.270	ENSG00000236107.12	ENSMUSG00000087301.10	0.427
ENSMUSG00000087312.3_ENSG00000233559.3	ENSMUSG00000087312.3	ENSG00000233559.3	0.137	ENSG00000233559.3	ENSMUSG00000087312.3	0.229
